Group,Item,Type,Condition,Verb,ImageIdent,Sentence,Name,ImageURL
B,24,Control,Mismatch,wash,TRUE,The mechanic is washing the car.,10-Mismatch MechanicWashing.png,https://umassgaplab.net/michael/ControlsforNorming/10-Mismatch MechanicWashing.png
A,24,Control,Mismatch,wash,TRUE,The mechanic is washing the car.,10-Mismatch MechanicWashing.png,https://umassgaplab.net/michael/ControlsforNorming/10-Mismatch MechanicWashing.png
A,25,Control,Mismatch,serve,TRUE,The waiter is serving the couple their food.,11-Mismatch WaiterServing.png,https://umassgaplab.net/michael/ControlsforNorming/11-Mismatch WaiterServing.png
B,25,Control,Mismatch,serve,TRUE,The waiter is serving the couple their food.,11-Mismatch WaiterServing.png,https://umassgaplab.net/michael/ControlsforNorming/11-Mismatch WaiterServing.png
B,26,Control,Mismatch,watch,TRUE,The woman is watching TV.,12-Mismatch WomanWatching.png,https://umassgaplab.net/michael/ControlsforNorming/12-Mismatch WomanWatching.png
A,26,Control,Mismatch,watch,TRUE,The woman is watching TV.,12-Mismatch WomanWatching.png,https://umassgaplab.net/michael/ControlsforNorming/12-Mismatch WomanWatching.png
A,27,Control,Mismatch,do,TRUE,The boy is doing somersaults.,13-Mismatch BoyDoing.png,https://umassgaplab.net/michael/ControlsforNorming/13-Mismatch BoyDoing.png
B,27,Control,Mismatch,do,TRUE,The boy is doing somersaults.,13-Mismatch BoyDoing.png,https://umassgaplab.net/michael/ControlsforNorming/13-Mismatch BoyDoing.png
B,28,Control,Mismatch,operate,TRUE,The doctor is operating on the patient.,14-Mismatch DoctorOperating.png,https://umassgaplab.net/michael/ControlsforNorming/14-Mismatch DoctorOperating.png
A,28,Control,Mismatch,operate,TRUE,The doctor is operating on the patient.,14-Mismatch DoctorOperating.png,https://umassgaplab.net/michael/ControlsforNorming/14-Mismatch DoctorOperating.png
